50 1202
39 9 40736
5 21 102476
32 28 2954026
41 16 1391400
19 36 2095141
31 3 1079799
43 27 104039
9 25 4623552
12 24 2355273
32 46 2352783
13 7 4389351
6 33 847154
12 46 3727586
17 24 4520573
50 25 1338849
5 41 3345479
12 46 4882827
42 20 1874283
28 12 3992590
11 22 3097800
7 37 1674140
39 33 3510849
39 19 3267881
12 50 753022
8 40 1526254
46 33 3631785
42 33 1871721
8 14 280626
22 8 189979
28 28 4850636
32 30 3378696
32 8 464173
15 49 3694010
27 18 3468498
38 28 4071231
28 44 343865
12 32 2088039
47 37 4791589
26 33 2056839
45 27 3633501
49 35 4789432
5 9 4031405
19 2 21720
49 50 2244771
44 21 2383239
43 15 2589587
12 34 3881580
15 46 4123860
39 6 1759086
16 6 4945729
30 28 1557052
13 44 250809
39 12 590725
29 7 3416352
23 26 4157824
34 14 4364764
43 31 3938598
45 2 3534808
45 50 521523
28 41 4985412
50 16 3626153
47 25 2115091
8 14 1903692
16 33 2523067
12 31 879526
16 18 3756729
37 40 4158917
3 31 304970
22 11 1117689
6 20 1156403
10 34 136535
7 39 4622331
36 16 967416
33 16 1994092
19 39 2592378
36 39 509845
25 38 1343294
48 16 2327114
15 36 230056
28 21 4903586
31 47 1526819
2 4 4795000
50 26 4529818
20 36 222316
24 17 4140800
49 23 4791135
42 9 3257033
29 12 3916090
32 41 1403439
21 26 4256359
23 9 2624366
6 33 3491350
14 4 975175
31 20 1920698
12 18 463809
42 10 1264778
9 46 3632163
24 35 1895040
20 23 2735292
45 30 4139997
6 9 792220
22 28 3504739
14 33 4034968
40 3 924186
31 26 1156681
29 22 813068
50 41 216717
20 9 3118536
15 18 3258373
35 39 802914
45 35 3974806
30 33 569202
34 48 3410408
5 7 4900305
36 15 1223018
13 12 1264159
50 35 1950860
22 33 105984
45 38 213571
18 37 3089305
9 35 4528968
32 40 2069144
7 23 3674009
25 15 2380458
23 35 2689655
7 21 1073283
9 4 3686695
15 38 4651161
47 33 3544945
22 20 1131113
38 22 3820772
12 5 3442097
43 48 3424208
10 49 4767668
34 31 744778
43 40 1703162
22 15 714604
8 30 4242125
23 45 3993682
30 46 4895100
19 11 733213
26 43 1710235
15 17 3748148
37 25 1424706
19 34 943487
26 17 110218
25 30 4620138
50 27 2064211
31 41 4392552
1 28 4515905
3 6 1533549
23 14 860538
35 38 3250611
12 6 4623785
33 44 1933942
38 30 3673599
35 44 4702840
31 3 511340
29 1 1509054
8 36 4177514
3 37 1915856
50 18 2821491
6 50 1785341
37 9 3774854
34 15 2401685
40 26 2906150
29 35 4640813
3 1 3508314
34 6 11103
40 43 688111
47 12 2064327
20 49 3137841
6 47 3818247
12 33 4006326
32 25 3216964
36 17 3753683
48 2 3559014
6 44 344868
16 40 2555548
15 32 3432201
20 32 2701526
11 18 112547
21 1 2558921
7 36 205659
26 37 2977455
26 49 1602332
16 27 3808388
24 33 3793300
27 10 4822474
9 10 4362231
28 27 4360902
13 43 4255804
11 32 277632
10 36 2187934
46 32 1378759
24 29 4340380
39 12 2531179
33 6 1419961
20 26 3402369
7 45 4881084
46 41 4000995
39 45 2556721
